1;139795
2;138831
3;138293
4;138546
5;137473
6;137473
7;137955
8;137473
9;137473
10;137473
11;137473
12;137450
13;137450
14;138513
15;137450
16;137490
17;137450
18;138721
19;137450
20;137614
21;138568
22;137450
23;137548
24;137450
25;137734
26;137655
27;138299
28;137450
29;137450
30;137951
31;138440
32;137450
33;137708
34;137609
35;137450
36;137450
37;137450
38;136950
39;137786
40;137634
41;138480
42;136698
43;135932
44;135932
45;135932
46;136922
47;135932
48;135932
49;137098
50;137455
51;137098
52;137093
53;136658
54;135932
55;136725
56;135932
57;136176
58;136686
59;135932
60;136998
61;137043
62;136998
63;135932
64;135873
65;136780
66;136769
67;135873
68;135873
69;136780
70;136106
71;136407
72;136722
73;136989
74;136722
75;136685
76;135873
77;136658
78;136989
79;135873
80;135873
81;135873
82;135873
83;136658
84;135873
85;135873
86;135873
87;136658
88;137039
89;136989
90;136856
91;136117
92;137039
93;136251
94;136248
95;136106
96;136769
97;136769
98;137080
99;135873
100;135873
101;136073
102;136032
103;135873
104;137080
105;136769
106;135873
107;135873
108;136651
109;136989
110;136685
111;136117
112;135873
113;135873
114;137039
115;135873
116;136366
117;135873
118;136769
119;135873
120;135913
121;137080
122;136251
123;136769
124;135873
125;135873
126;136314
127;135873
128;135873
129;136856
130;136637
131;135873
132;135873
133;135873
134;136685
135;135873
136;135873
137;137039
138;137034
139;137039
140;136874
141;137069
142;136073
143;135873
144;136856
145;136368
146;135873
147;135873
148;137011
149;136991
150;135873
151;135913
152;136939
153;135873
154;136769
155;135873
156;135874
157;135873
158;136769
159;135873
160;136769
161;135873
162;135877
163;135873
164;136662
165;136856
166;136106
167;135873
168;135873
169;135873
170;135873
171;135873
172;136314
173;136073
174;135873
175;135873
176;136989
177;135873
178;136856
179;135873
180;136989
181;137011
182;136117
183;136874
184;136874
185;136989
186;136989
187;136251
188;136251
189;136117
190;137080
191;136856
192;135873
193;136117
194;136032
195;135873
196;135873
197;135877
198;136780
199;137034
200;135873
201;135873
202;135873
203;136375
204;137069
205;136662
206;135873
207;137039
208;135873
209;135932
210;135877
211;136856
212;135873
213;136658
214;135873
215;135873
216;136073
217;135873
218;136769
219;135873
220;136989
221;135873
222;135873
223;135873
224;136375
225;135874
226;136366
227;136073
228;135873
229;136251
230;136651
231;136989
232;136780
233;135873
234;136662
235;136073
236;135873
237;136685
238;136939
239;136989
240;136991
241;135873
242;135873
243;136106
244;136989
245;135873
246;136874
247;135874
248;136989
249;135873
250;135873
251;136251
252;136637
253;136251
254;137034
255;137039
256;136874
257;136658
258;136658
259;136991
260;136702
261;136651
262;136856
263;136106
264;135873
265;137039
266;135873
267;135873
268;137080
269;136314
270;137034
271;136662
272;137034
273;136939
274;136314
275;136248
276;136856
277;136117
278;135873
279;135873
280;136248
281;136856
282;135873
283;137011
284;136651
285;137069
286;136939
287;135873
288;136856
289;136989
290;135873
291;135877
292;137080
293;136662
294;135873
295;136073
296;136366
297;136117
298;136073
299;135877
300;136780
301;135874
302;136989
303;136073
304;136117
305;135873
306;135873
307;136375
308;136651
309;136658
310;135873
311;135873
312;135873
313;136662
314;136856
315;135873
316;135873
317;136769
318;136780
319;136780
320;135877
321;135877
322;137400
323;136666
324;135877
325;135877
326;135877
327;135877
328;136331
329;135877
330;135936
331;135877
332;135877
333;136662
334;136077
335;135877
336;135339
